trait_code	h2	intercept	max_abs_rg_with_any_trait	selected_for_efa	study_accession	biomarker_name	group	Z	h2_obs	h2_obs_se	n_independent_leads	reported_trait	ftp_path
M_VLDL_PL	0.101201203465299	1.27090898216744	0.990215925680166	False	GCST90451229	Phospholipids in medium VLDL	Lipoprotein subclasses	4.66798418972332	0.1181	0.0253	344	Phospholipids in medium VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451229/GCST90451229.tsv.gz
M_VLDL_TG	0.131822205296143	1.26256208061221	0.991563775703173	True	GCST90451232	Triglycerides in medium VLDL	Lipoprotein subclasses	7.772093023255814	0.1671	0.0215	400	Triglycerides in medium VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451232/GCST90451232.tsv.gz
S_HDL_C	0.10061853305425	1.12956521420266	0.97309600846563	True	GCST90451252	Cholesterol in small HDL	Lipoprotein subclasses	7.916666666666667	0.114	0.0144	284	Cholesterol in small HDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451252/GCST90451252.tsv.gz
S_HDL_CE	0.0957694172018851	1.15020149397757	0.909973576865869	True	GCST90451250	Cholesteryl esters in small HDL	Lipoprotein subclasses	7.791366906474821	0.1083	0.0139	275	Cholesteryl esters in small HDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451250/GCST90451250.tsv.gz
S_HDL_FC	0.101462657011443	1.15934415594965	0.952052739497429	True	GCST90451254	Free cholesterol in small HDL	Lipoprotein subclasses	7.229411764705882	0.1229	0.017	302	Free cholesterol in small HDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451254/GCST90451254.tsv.gz
S_HDL_L	0.11036954107425	1.11550200652871	0.98911179252517	True	GCST90451255	Total lipids in small HDL	Lipoprotein subclasses	7.307692307692307	0.133	0.0182	310	Total lipids in small HDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451255/GCST90451255.tsv.gz
S_HDL_PL	0.107755613220019	1.13372585403898	0.780566307432331	True	GCST90451257	Phospholipids in small HDL	Lipoprotein subclasses	6.65979381443299	0.1292	0.0194	299	Phospholipids in small HDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451257/GCST90451257.tsv.gz
S_HDL_TG	0.14594338286174	1.3478692200722	0.970538997427806	True	GCST90451260	Triglycerides in small HDL	Lipoprotein subclasses	7.234375	0.1852	0.0256	440	Triglycerides in small HDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451260/GCST90451260.tsv.gz
S_LDL_TG	0.129692909276509	1.28926268099672	0.980944289227217	True	GCST90451272	Triglycerides in small LDL	Lipoprotein subclasses	7.324675324675325	0.1692	0.0231	404	Triglycerides in small LDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451272/GCST90451272.tsv.gz
S_VLDL_C	0.102282922236931	1.29917726368845	1.00134051309654	False	GCST90451277	Cholesterol in small VLDL	Lipoprotein subclasses	4.863070539419087	0.1172	0.0241	340	Cholesterol in small VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451277/GCST90451277.tsv.gz
S_VLDL_CE	0.105908996633486	1.31677911950895	0.9791281137196	True	GCST90451275	Cholesteryl esters in small VLDL	Lipoprotein subclasses	5.359307359307359	0.1238	0.0231	348	Cholesteryl esters in small VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451275/GCST90451275.tsv.gz
S_VLDL_FC	0.0975324332762738	1.26162426830785	0.957886620940232	True	GCST90451279	Free cholesterol in small VLDL	Lipoprotein subclasses	4.212	0.1053	0.025	323	Free cholesterol in small VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451279/GCST90451279.tsv.gz
S_VLDL_L	0.123164661919242	1.30441970261953	0.976708706123844	True	GCST90451280	Total lipids in small VLDL	Lipoprotein subclasses	6.648535564853557	0.1589	0.0239	395	Total lipids in small VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451280/GCST90451280.tsv.gz
S_VLDL_PL	0.109194644655352	1.29064622122867	0.931258432634532	True	GCST90451282	Phospholipids in small VLDL	Lipoprotein subclasses	5.0390625	0.129	0.0256	364	Phospholipids in small VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451282/GCST90451282.tsv.gz
S_VLDL_TG	0.137696670043081	1.29924957616836	0.977977827097969	True	GCST90451285	Triglycerides in small VLDL	Lipoprotein subclasses	6.944664031620554	0.1757	0.0253	411	Triglycerides in small VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451285/GCST90451285.tsv.gz
XL_HDL_C	0.164497628679522	1.46240921822936	0.99979052673048	False	GCST90451310	Cholesterol in very large HDL	Lipoprotein subclasses	7.699186991869919	0.1894	0.0246	533	Cholesterol in very large HDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451310/GCST90451310.tsv.gz
XL_HDL_CE	0.171116152461791	1.47629268594431	0.996312632338531	True	GCST90451308	Cholesteryl esters in very large HDL	Lipoprotein subclasses	8.322033898305085	0.1964	0.0236	549	Cholesteryl esters in very large HDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451308/GCST90451308.tsv.gz
XL_HDL_FC	0.135029539818058	1.3928114721158	0.98331468822305	True	GCST90451312	Free cholesterol in very large HDL	Lipoprotein subclasses	5.969811320754717	0.1582	0.0265	422	Free cholesterol in very large HDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451312/GCST90451312.tsv.gz
XL_HDL_L	0.15565591317067	1.44196021632338	1.0079377635804	False	GCST90451313	Total lipids in very large HDL	Lipoprotein subclasses	8.533333333333333	0.1792	0.021	495	Total lipids in very large HDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451313/GCST90451313.tsv.gz
XL_HDL_PL	0.151641197055116	1.42268395326829	0.744337668827433	False	GCST90451315	Phospholipids in very large HDL	Lipoprotein subclasses	9.210256410256411	0.1796	0.0195	479	Phospholipids in very large HDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451315/GCST90451315.tsv.gz
XL_HDL_TG	0.0786767645444726	1.28303597113717	0.820824823257158	True	GCST90451318	Triglycerides in very large HDL	Lipoprotein subclasses	5.09047619047619	0.1069	0.021	261	Triglycerides in very large HDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451318/GCST90451318.tsv.gz
XL_VLDL_C	0.127693295018195	1.31254009790651	1.00222913581249	False	GCST90451322	Cholesterol in very large VLDL	Lipoprotein subclasses	7.751196172248805	0.162	0.0209	398	Cholesterol in very large VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451322/GCST90451322.tsv.gz
XL_VLDL_CE	0.123346433928913	1.29936947464142	0.991770501805984	False	GCST90451320	Cholesteryl esters in very large VLDL	Lipoprotein subclasses	7.065420560747664	0.1512	0.0214	376	Cholesteryl esters in very large VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451320/GCST90451320.tsv.gz
